Series Name,Series Code,Country,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,Ecuador,ECU,6798205,6987393,7179399,7374235,7571953,7772652,7976449,8183194,8392935,8606214,8823746,9045977,9272905,9504132,9739179,9977380,10218085,10460988,10705670,10951200,11196476,11440576,11683480,11924991,12163887,12398691,12628596,12852753,13072056,13289600,13509645,13735232,13967490,14205479,14447600,14691310,14934692,15177280,15419493,15661312,15902916,16144363
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,37815578,38624410,39478585,40377668,41324806,42321740,43369552,44465918,45610430,46807221,48061546,49373806,50748187,52173840,53617678,55035937,56397273,57689828,58922018,60108373,61272847,62434527,63595629,64754566,65922626,67112877,68334905,69599945,70908710,72247626,73596068,74942115,76274285,77605327,78976122,80442443,82040994,83787634,85660902,87613909,89579670,91508084
"Population, total",SP.POP.TOTL,El Salvador,SLV,4053958,4147525,4239205,4328817,4415625,4498757,4577683,4652058,4722272,4789472,4855280,4920932,4986528,5051885,5117577,5184221,5252082,5321576,5392142,5461834,5528012,5588743,5643363,5692300,5736075,5775660,5811836,5844738,5874301,5900929,5925089,5947206,5967556,5986414,6004199,6021368,6038306,6055208,6072233,6089644,6107706,6126583
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,249587,238240,228491,220352,215284,215014,220605,232934,251301,273199,295090,314407,330247,343290,354488,365451,377363,390381,404081,418409,433197,448332,463844,479836,496330,513347,530896,549007,567664,586772,606201,625866,645718,665798,686223,707155,728710,750918,773729,797082,820885,845060
"Population, total",SP.POP.TOTL,Eritrea,ERI,2013382,2070145,2128597,2188806,2251129,2316054,2383858,2453689,2525005,2598626,2675717,2756493,2843141,2933871,3020278,3091083,3139083,3160644,3160617,3150811,3147871,3164095,3202598,3260612,3337227,3429656,3535156,3655006,3788532,3928408,4064958,4191273,4304440,4406299,4500638,4593549,4689664,4789568,4892233,4998824,5110444,5227791
"Population, total",SP.POP.TOTL,Estonia,EST,1418169,1429352,1439576,1450211,1460188,1468333,1477219,1487666,1498414,1508745,1518617,1528781,1540190,1552221,1561900,1568131,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1380620,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1311998
"Population, total",SP.POP.TOTL,Ethiopia,ETH,31855294,32568539,33144537,33614153,34053431,34569428,35239974,36093319,37109517,38259376,39493503,40775997,42097111,43470219,44908705,46433604,48057094,49784987,51602776,53477944,55366517,57237226,59076414,60893264,62707547,64550161,66443603,68393128,70391170,72432290,74506974,76608431,78735675,80891968,83079608,85302099,87561814,89858696,92191211,94558374,96958732,99390750
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,761444994,767114225,772656242,777946308,783260461,788456015,793795423,799120587,803884347,808473556,813273557,818181288,823227203,828312655,833439109,838607561,842972172,846287676,849687540,852686641,854538617,856060572,857263836,858641127,859721023,860892312,861989674,863492336,865189443,867472980,870067822,872720228,875415605,878428497,881925905,885580688,889077523,892816142,895050287,900863153,903987814,907944124
"Population, total",SP.POP.TOTL,Fiji,FJI,565386,576592,587523,598258,609348,621541,635256,650957,668196,685389,700366,711663,718548,721725,722918,724624,728626,735469,744534,755024,765666,775498,784479,792859,800314,806494,811223,814215,815691,816626,818355,821820,827390,834729,843206,851854,859952,867327,874158,880487,886450,892145
"Population, total",SP.POP.TOTL,Finland,FIN,4690574,4711440,4725664,4738902,4752528,4764690,4779535,4799964,4826933,4855787,4881803,4902206,4918154,4932123,4946481,4964371,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5482013
